source,functions,application
"Belpasso Premio, Cleantop",protect-structure; repel-dirt; reduce-cleaning,moisture-resistant concrete surface
Belt,cut-tile; assemble-tile; fire-tile; produce-color,fused glass tile for borders and chair rail
BELTWALK,absorb-nature; insulate-heat; insulate-sound; wrap-structures; repair-easily,column and wall wrapping material
Benchmark,make watertight; guarantee structural safety; ensure fire resistance; transform appearance,insulated building façade panel
Bendywood,bend-wood; compress-wood; dry-wood,bent wooden handrails
Bera Gravel Fix,provide-stable base; reduce-root crack; ensure-efficient drainage,gravel stabilization system for driveways
Berriestex – Made from strawberries,offer-alternative; become-durable; become-flexible; become-sewable,vegan luxury handbags
BESE-elements®,provide-stability; offer-protection; support-adhesion; create-structure; enable-modular-assembly,biodegradable mats for nature restoration
Bespoke 3D Leather,sculpting-artwork; engraving-patterns; embossing-texture,bespoke leather wall tiles
BestFelt,provide sound absorption; reduce ambient noise; support regional agricultural supply chains,interior wall coverings and spatial dividers
Béton Picturale,transfer-image; create-relief; customize-artwork,facade artwork for buildings
Betonada Rust,protect-noun; seal-noun; apply-noun; finish-noun,decorative wall cladding
Betonlook paint,give-concrete look; allow-breathing; absorb-CO²,ecological wall coating for damp areas
Bia Metallic,create-sustainable surface; provide-heat conductivity; enhance-aesthetic appeal,metallized concrete facade panels
Bianni’ – Wool Paper,transform-noun; preserve-noun; reintroduce-noun,handmade paper products
Bicicleta rug,create-nontraditional carpet; reduce-waste rubber; provide-soft texture; allow-looped pile,recycled carpet for residential use
Big Mesh,create-textile; provide-lightweight; offer-translucence,lightweight mesh fabric for clothing
Bio-AmiCoFitex,provide-bacterial protection; provide-fungal protection; apply-antimicrobial coatings,sportswear with antimicrobial properties
Bio-Construct,provide insulation; offer fire resistance; reduce weight; enhance sustainability,building material for sustainable structures
Bio-Flex,replace-conventional materials; convert-film; maintain-tensile strength,thin film packaging for bioplastics
Bio-Glass,recycle-noun; reduce-noun; decorate-noun,counter or worktops
Bio Laminates,modify-fibers; upgrade-resources; replace-synthetics; enhance-fibers,biodegradable packaging materials
Bio-luminum,provide strength; offer durability; enable sustainability,high-traffic flooring tiles
Bio Pigments Atelier,create-paints; lock-pigments; force-painting,bioplastic-based painting medium
Bio-receptive 3D printed ceramics,filter air pollutants; improve air quality; release oxygen; dampen sound; retain humidity; reduce thermal fluctuations,living wall system for interior and exterior spaces
Bio-SIP™,sequester-CO2 emissions; integrate-insulation; provide-structural integrity; offer-weather resistance; ensure-airtightness; facilitate-assembly,sustainable modular building system
Biobased SIP building system,replace-timber; support-circular construction; reduce-CO2 footprint; provide-structural strength; enable-reuse,modular prefab building system for walls and roofs
BioBasedTile®,reduce-carbon footprint; grow-tile; strengthen-material; lighten-weight,interior and exterior flooring tiles
Bioblocks,absorb-excess moisture; retain-excess moisture; regulate-interior climate; provide-sustainable construction,earth-retaining structures for noise barriers
BioCaif,promote-sustainability; reduce-waste; provide-biodegradability,biodegradable coffee cup and lid
Biochar-Cob,improve-soil; store-carbon; construct-shelters,habitable spaces from organic waste
BioCoat,provide-water-resistance; offer-UV-resistance; enhance-durability; ensure-eco-friendliness,superhydrophobic coating for various surfaces
Biocomposites,reinforce-material; insulate-thermal; insulate-acoustic; resist-flame,thermal and acoustic insulation panels
Biodegradable envelopes,allow biodegradation; produce envelopes; print with solvent-free inks,biodegradable office envelopes
Biofiber,provide thermal insulation; biodegrade at end of life,thermal insulation for buildings
Bioflexi,produce-fiberboard; recycle-fiberboard; compost-fiberboard; provide-fire-resistance; minimize-health-risks,free-form furniture and partitions
BioFoam,provide insulation; offer biodegradability; enable recycling; support lightweight design,biodegradable packaging material
BioFoamPearls,reduce-emission; provide-insulation; biodegrade-material,cavity wall insulation
Biofold acoustic panel,upcycle-textiles; damp-sound; absorb-noise,acoustic wall panel
Biofuel Waste is Bliss,reduce CO2 footprint; substitute minerals; create ceramic glazes; lower melting point; provide color,ceramic tiles and bricks with ash content
Biograde,process-blends; moulding-applications; resist-heat; suitable-thermoforming; approve-food-contact; certify-biodegradability,injection moulded packaging components
Biogranulates,provide-non-slip surface; resist-wind and runoff; act-thermal buffer; serve-decorative coating,outdoor decorative floor coating for gardens and playgrounds
BioGreen padding polymer,provide insulation; replace down filling; offer lightweight cushioning,high-performance insulated jackets
BioLaminil,digest-foam; laminate-paper; activate-bacteria,biodegradable insulation panels
Trifilon BioLite®,reduce CO2 footprint; replace fossil plastics; enable injection molding; achieve surface finishes,injection molded components for consumer products
Biological grown material,grow-material; absorb-colour; influence-translucency; change-thickness,collection of table lamps
Biopanel,provide strength; offer biodegradability; ensure CO2 neutrality; enable custom sizing,signage panels for outdoor use
Biophilic Wallpaper,transform-nature; enhance-texture; apply-design,bespoke natural wall covering
Biophyl,reduce-dependability; provide-softness; replace-petrochemicals,intimate apparel and swimwear
Bioplastics from Organic Waste,create-novel materials; redirect-waste; achieve-specific characteristics,bioplastic packaging from food waste
Biopregs,replace-nonrenewable materials; reinforce-cellulose fibers; mold-thermoforming; cut-sawed; paint-printed,biodegradable composite sheets for construction
BioProtect,destroy-germs; prevent-odour; retain-effectiveness,anti-bacterial hospital bedding
bios.antibacterial ceramics,reduce-bacteria; generate-antibacterial reaction; embed-particles,antibacterial wall tiles
Biosgel,distribute-pressure; absorb-shock; resist-scrapes; allow-air-circulation,shock-absorbing cushioning for personal hygiene products
Biotex,reinforce-composite; damp-noise; insulate-thermally; mold-flexible fabrics,automotive interior components
BirdShades bird protection window film,protect-birds; optimize-cities; maintain-aesthetic,bird protection for glass surfaces
Bisazza Mosaico Mix,create-mosaic; provide-glittering-effect; ease-installation,decorative wall and floor tiles for swimming pools
Black Gold,reflect-nature; show-aesthetic; manifest-capabilities,urban design elements
Black Heart,embed-stones; protect-surface; create-surface,decorative countertop surface
Black MDF – Fibracolour Negro,provide strength; offer aesthetic effects; ensure consistency; resist lighting,office furniture and dividing walls
Black N Tan,provide-bath rug; tickle-feet; massage-feet,bathroom rug with textured surface
Black=Colour,create-pile; coat-backside; provide-contrast; offer-aesthetic-value,3D striped floor covering
Blazestone,resist-scratch; withstand-thermal shock; provide-aesthetic variation,handmade decorative tiles for floors and walls
Blend,visualize-patterns; emphasize-woodgrains; play-inlay work; show-new perspective,decorative wall paneling
Blinds made of waste material,weaving-structure; recycling-process; mixing-colors,window blinds and room dividers
BlingCrete light reflecting concrete,light-reflecting surface; textile-reinforced structure; non-flammable material; durable surface effect; cost-effective production; environmentally friendly design,safety-related marking of danger spots in construction
Blobb Tiles,enliven-environment; simulate-melting; create-humoristic-details,decorative bathroom tiles
Blood bio leather,create-novel materials; reduce-waste; explore-sustainability,sustainable leather alternative for fashion accessories
Blood plastic,create-object; symbolize-identity; provide-sustainability,decorative art pieces
Blow-in straw fibre insulation,provide-thermal insulation; provide-acoustic insulation; ensure-even distribution; create-seamless layer,thermal and acoustic insulation for walls and roofs
Blown-up weave 2D & 3D,provide durability; resist weather; offer custom patterns; create 3D structures,outdoor furniture upholstery
Bluedec,reduce energy loss; conserve interior space; provide thermal protection; insulate against heat; insulate against cold; deliver thermal performance,nanoporous aerogel blanket insulation
Bluestein,provide insulation; create reflective surfaces; allow customization,double glazed floor plates
Bobbles,create-3D surface; provide-softness; offer-warmth; ensure-good acoustics,textile for jacquard knitwear
BODEM circulair terrazzo,transform-nonusable pottery; grind-broken ceramics; combine-binder,kitchen worktops
