source_clean,function_1,function_2,function_3,function_4,function_5,function_6,application_clean
biocoat,provide water resistance,offer uv resistance,enhance durability,ensure eco friendliness,,,superhydrophobic coating for various surfaces
biocomposites,reinforce material,insulate thermal,insulate acoustic,resist flame,,,thermal and acoustic insulation panels
biodegradable envelopes,allow biodegradation,produce envelopes,print with solvent free inks,,,,biodegradable office envelopes
biofiber,provide thermal insulation,biodegrade at end of life,,,,,thermal insulation for buildings
bioflexi,produce fiberboard,recycle fiberboard,compost fiberboard,provide fire resistance,minimize health risks,,free form furniture and partitions
biofoampearls,reduce emission,provide insulation,biodegrade material,,,,cavity wall insulation
biofuel waste is bliss,reduce co2 footprint,substitute minerals,create ceramic glazes,lower melting point,provide color,,ceramic tiles and bricks with ash content
biograde,process blends,moulding applications,resist heat,suitable thermoforming,approve food contact,certify biodegradability,injection moulded packaging components
biogranulates,provide non slip surface,resist wind and runoff,act thermal buffer,serve decorative coating,,,outdoor decorative floor coating for gardens and playgrounds
biogreen padding polymer,provide insulation,replace down filling,offer lightweight cushioning,,,,high performance insulated jackets
biolaminil,digest foam,laminate paper,activate bacteria,,,,biodegradable insulation panels
trifilon biolite,reduce co2 footprint,replace fossil plastics,enable injection molding,achieve surface finishes,,,injection molded components for consumer products
biological grown material,grow material,absorb colour,influence translucency,change thickness,,,collection of table lamps
biopanel,provide strength,offer biodegradability,ensure co2 neutrality,enable custom sizing,,,signage panels for outdoor use
biophilic wallpaper,transform nature,enhance texture,apply design,,,,bespoke natural wall covering
biophyl,reduce dependability,provide softness,replace petrochemicals,,,,intimate apparel and swimwear
bioplastics from organic waste,create novel materials,redirect waste,achieve specific characteristics,,,,bioplastic packaging from food waste
biopregs,replace nonrenewable materials,reinforce cellulose fibers,mold thermoforming,cut sawed,paint printed,,biodegradable composite sheets for construction
bioprotect,destroy germs,prevent odour,retain effectiveness,,,,anti bacterial hospital bedding
bios antibacterial ceramics,reduce bacteria,generate antibacterial reaction,embed particles,,,,antibacterial wall tiles
biosgel,distribute pressure,absorb shock,resist scrapes,allow air circulation,,,shock absorbing cushioning for personal hygiene products
biotex,reinforce composite,damp noise,insulate thermally,mold flexible fabrics,,,automotive interior components
birdshades bird protection window film,protect birds,optimize cities,maintain aesthetic,,,,bird protection for glass surfaces
bisazza mosaico mix,create mosaic,provide glittering effect,ease installation,,,,decorative wall and floor tiles for swimming pools
black gold,reflect nature,show aesthetic,manifest capabilities,,,,urban design elements
black heart,embed stones,protect surface,create surface,,,,decorative countertop surface
black mdf fibracolour negro,provide strength,offer aesthetic effects,ensure consistency,resist lighting,,,office furniture and dividing walls
black n tan,provide bath rug,tickle feet,massage feet,,,,bathroom rug with textured surface
black colour,create pile,coat backside,provide contrast,offer aesthetic value,,,3d striped floor covering
blazestone,resist scratch,withstand thermal shock,provide aesthetic variation,,,,handmade decorative tiles for floors and walls
blinds made of waste material,weaving structure,recycling process,mixing colors,,,,window blinds and room dividers
blingcrete light reflecting concrete,light reflecting surface,textile reinforced structure,non flammable material,durable surface effect,cost effective production,environmentally friendly design,safety related marking of danger spots in construction
blobb tiles,enliven environment,simulate melting,create humoristic details,,,,decorative bathroom tiles
blood bio leather,create novel materials,reduce waste,explore sustainability,,,,sustainable leather alternative for fashion accessories
blood plastic,create object,symbolize identity,provide sustainability,,,,decorative art pieces
blow in straw fibre insulation,provide thermal insulation,provide acoustic insulation,ensure even distribution,create seamless layer,,,thermal and acoustic insulation for walls and roofs
bluedec,reduce energy loss,conserve interior space,provide thermal protection,insulate against heat,insulate against cold,deliver thermal performance,nanoporous aerogel blanket insulation
bluestein,provide insulation,create reflective surfaces,allow customization,,,,double glazed floor plates
bobbles,create 3d surface,provide softness,offer warmth,ensure good acoustics,,,textile for jacquard knitwear
bodem circulair terrazzo,transform nonusable pottery,grind broken ceramics,combine binder,,,,kitchen worktops
body and soul,provide insulation,offer sound absorption,suit floor heating,resist electrostatic,,,hand sewn carpet for indoor use
bog oak,create novel pieces,extract buried trunks,enrich colour,enhance aesthetics,,,unique furniture pieces
boiled wood,transform noun,create noun,,,,,custom furniture design
bois larmé,reinforced wood,resistant abrasion,resistant impact,printed 3d,,,decorative wooden panels with metal reinforcement
bola triglass,provide core,offer drape ability,ensure compatibility,enable impregnation,,,sandwich structure for composite materials
bolefloor,evaluate nature,optimize placement,create unique flooring,,,,curved length flooring for interiors
bolidt flooring,provide flooring,offer durability,resist weather,allow customization,ensure safety,,industrial flooring systems
bonded metal,provide surfacing,cast granules,assure reproduction,create durability,,,elevator paneling
bonding technology biflex,join noun,finish noun,laminate noun,,,,fabric joining and finishing solutions
boracay,provide wall coverings,create earthy look,enhance texture,,,,natural handmade wall coverings
borit,enable precise shaping,combine lightness and stiffness,stack sheets closely,,,,lightweight structural panels for building
borjajet roof tiles,combine tiles,allow advantages,provide finish,,,,roof covering with aesthetic finishes
botanical c,extract fibres,create objects,show handmade beauty,,,,decorative objects from recycled flowers
botanical paperworks,embed seeds,print inkjet,allow germination,,,,greeting cards that grow into flowers
both,design noun,develop noun,manufacture noun,explore noun,,,textural wall installations and rugs
recycled glass surfaces,recycle glass,create surfaces,process waste,,,,unique surfaces for commercial and domestic use
bouclé lounge,inhibit bacteria,bond fabric,protect air quality,washable product,install adhesives,,wall to wall and tile flooring
bouclé,provide visual interest,interpret fine knitwear,make durable flooring,enable easy cleaning,,,textured wall to wall flooring
braidzz,cover noun,inspire noun,create noun,,,,outdoor woven flooring solution
brass copper,create surface,emboss structure,furnish finish,provide fire retardancy,,,metal laminate wall panels
brava,endure high temperature,resist fire,protect electricity cables,stop drafts,,,continuous roof lights
breathable pu fabrics,laminate fabric,waterproof fabric,provide comfort,,,,waterproof outdoor clothing
